"","chr","pos","p","neg.log10p"
"1","chrX",316075,0.0902739297037184,1.04443765190722
"2","chrX",336075,0.104223320655156,0.982035093909267
"3","chrX",356075,0.0673702685595532,1.17153172140642
"4","chrX",376075,0.091648208883105,1.03787601820624
"5","chrX",396075,0.135080890971268,0.869406083492436
"6","chrX",416075,0.160956380962774,0.793291801445033
"7","chrX",436075,0.15134041253544,0.820045086533239
"8","chrX",456075,0.188804998367793,0.723986512501845
"9","chrX",476075,0.227350979160414,0.643303171025404
"10","chrX",496075,0.266120532779422,0.574921615757585
"11","chrX",516075,0.298535076860486,0.525004633405758
"12","chrX",536075,0.311792168604537,0.506134797340085
"13","chrX",556075,0.311507913998681,0.506530915417983
"14","chrX",576075,0.353817493781808,0.451220698093668
"15","chrX",596075,0.394209587635316,0.404272817381597
"16","chrX",616075,0.46982647154406,0.32806251731228
"17","chrX",636075,0.421479057247776,0.375224000037318
"18","chrX",656075,0.360659244596207,0.442902931280198
"19","chrX",676075,0.296142969603763,0.528498572996137
"20","chrX",696075,0.403651951351017,0.39399294369108
"21","chrX",716075,0.436168294982827,0.36034590641995
"22","chrX",736075,0.459543134872926,0.337673717448562
"23","chrX",756075,0.471871112360076,0.326176609066518
"24","chrX",776075,0.454635861105141,0.342336310657195
"25","chrX",796075,0.449632689953834,0.347142121481562
"26","chrX",816075,0.458224288062328,0.33892189486751
"27","chrX",836075,0.401063531930428,0.396786825930135
"28","chrX",856075,0.391170233905809,0.407634200260438
"29","chrX",876075,0.382257311897715,0.417644198560616
"30","chrX",896075,0.424450692493337,0.372172753527966
"31","chrX",916075,0.331693828464027,0.479262608941635
"32","chrX",936075,0.325976024189639,0.486814341481312
"33","chrX",956075,0.343585004195502,0.463965799256582
"34","chrX",976075,0.302013360024844,0.519973844934466
"35","chrX",996075,0.253670335395494,0.595730316882742
"36","chrX",1016075,0.209779345855263,0.678237273161764
"37","chrX",1036075,0.227856437589215,0.642338696859993
"38","chrX",1056075,0.259675835574558,0.585568462249404
"39","chrX",1076075,0.20849626748844,0.68090171538415
"40","chrX",1096075,0.199615601789948,0.699805517625396
"41","chrX",1116075,0.180656835337812,0.743145601805154
"42","chrX",1136075,0.177293273335656,0.751307741605088
"43","chrX",1156075,0.183151708560381,0.737189025594117
"44","chrX",1176075,0.193558125554477,0.713188592315062
"45","chrX",1196075,0.187285408076366,0.727496058389751
"46","chrX",1216075,0.137807607961511,0.860726805617824
"47","chrX",1236075,0.20145064484246,0.695831338099015
"48","chrX",1256075,0.201391104689629,0.695959715855514
"49","chrX",1276075,0.191814558049852,0.717118434491816
"50","chrX",1296075,0.185268907261916,0.73219745999906
"51","chrX",1316075,0.227736172528344,0.64256798264012
"52","chrX",1336075,0.223849755099266,0.650043376416097
"53","chrX",1356075,0.223636052177103,0.650458182898934
"54","chrX",1376075,0.268976216503901,0.570286119617523
"55","chrX",1396075,0.300890749716663,0.521591163568531
"56","chrX",1416075,0.297267366270466,0.526852764614645
"57","chrX",1436075,0.325357460939017,0.487639229786149
"58","chrX",1456075,0.319236038570145,0.495888087030971
"59","chrX",1476075,0.287845339226956,0.54084079821997
"60","chrX",1496075,0.281608075912154,0.550354894722422
"61","chrX",1516075,0.275113892000537,0.560487479160123
"62","chrX",1536075,0.285856332973856,0.543852181812021
"63","chrX",1556075,0.207513617834089,0.682953397958436
"64","chrX",1576075,0.250490240707494,0.601209189914289
"65","chrX",1596075,0.230211878727659,0.63787227092006
"66","chrX",1616075,0.257381734254873,0.589422277143334
"67","chrX",1636075,0.27095608345267,0.567101093847876
"68","chrX",1656075,0.297229486340553,0.526908109044093
"69","chrX",1676075,0.286682770080726,0.542598407798976
"70","chrX",1696075,0.303226180732743,0.518233304171595
"71","chrX",1716075,0.330976073049837,0.480203401142776
"72","chrX",1736075,0.379041330595575,0.421313432061102
"73","chrX",1756075,0.382503034946873,0.41736511461376
"74","chrX",1776075,0.376424233715505,0.424322425015946
"75","chrX",1796075,0.403843653208638,0.393786738084437
"76","chrX",1816075,0.427713597013484,0.368846943303947
"77","chrX",1836075,0.37945842117928,0.420835804595066
"78","chrX",1856075,0.315747095441477,0.50066063583056
"79","chrX",1876075,0.368222272347266,0.433889946236738
"80","chrX",1896075,0.461464701046915,0.335861513981196
"81","chrX",1916075,0.548003250304131,0.261216865630663
"82","chrX",1936075,0.59799204050637,0.223304596592137
"83","chrX",1956075,0.612150971406754,0.213141456999671
"84","chrX",1976075,0.603290083450701,0.219473813317833
"85","chrX",1996075,0.536778241271243,0.270205096951127
"86","chrX",2016075,0.492357167261903,0.307719735657295
"87","chrX",2036075,0.523741244732253,0.280883223970759
"88","chrX",2056075,0.472354180388914,0.325732236734569
"89","chrX",2076075,0.419357353157797,0.377415737509147
"90","chrX",2096075,0.372255897007265,0.429158413743873
"91","chrX",2116075,0.340046365705115,0.468461862378303
"92","chrX",2136075,0.361973156668684,0.44132363483402
"93","chrX",2156075,0.353165913232566,0.45202122018334
"94","chrX",2176075,0.337140471879896,0.47218910965917
"95","chrX",2196075,0.253976447976322,0.59520655498702
"96","chrX",2216075,0.301736575877799,0.52037204236361
"97","chrX",2236075,0.362171877324713,0.441085275714041
"98","chrX",2256075,0.34537639761389,0.461707344638524
"99","chrX",2276075,0.380240523615203,0.41994160066197
"100","chrX",2296075,0.410295907049355,0.386902815362471
"101","chrX",2316075,0.424365507464214,0.372259922901536
"102","chrX",2336075,0.456733962262165,0.340336693506522
"103","chrX",2356075,0.535213053531935,0.2714733029238
"104","chrX",2376075,0.539541795968131,0.267974906763762
"105","chrX",2396075,0.626267927743334,0.203239828695858
"106","chrX",2416075,0.633103691785715,0.198525153991576
"107","chrX",2436075,0.610958461201562,0.213988316245499
"108","chrX",2456075,0.603518982288907,0.219309065626817
"109","chrX",2476075,0.630788512470768,0.200116224372912
"110","chrX",2496075,0.684865995937845,0.164394396270997
"111","chrX",2516075,0.681679208784278,0.166419951781152
"112","chrX",2536075,0.692162752283908,0.159791775329107
"113","chrX",2556075,0.751435483988061,0.124108300706823
